bracket team,stats team,ratio,fixed stats team
KU,BYU,40,Kansas
VT,Vermont,44,Virginia Tech
L-IL,Cal Poly,50,Loyola Chicago
SDST,Boise St.,50,South Dakota St.
LIP,Lipscomb,55,
NCST,Kent St.,55,North Carolina St.
SYR,Syracuse,55,
ARK,Army,57,Arkansas
CIN,Iona,57,Cincinnati
COFC,UCF,57,College of Charleston
DAV,Navy,57,Davidson
NCCU,TCU,57,North Carolina Central
NMSU,LSU,57,New Mexico St.
PROV,Providence,57,
SDSU,LSU,57,San Diego St.
SFA,UTSA,57,Stephen F. Austin
TAMU,SMU,57,Texas A&M
UNCG,UCF,57,UNC Greensboro
URI,Rice,57,Rhode Island
WICH,Wichita St.,57,
FLA,Florida,60,
HOU,Houston,60,
RAD,Bradley,60,Radford
WRST,Marist,60,Wright St.
CREI,Creighton,62,
GAST,Morgan St.,62,Georgia St.
MURR,Murray St.,62,
VILL,Villanova,62,
ALA,Albany,67,Alabama
ASU,LSU,67,Arizona St.
AUB,Auburn,67,
BUCK,Bucknell,67,
BUT,BYU,67,Butler
CSF,UCF,67,Cal St. Fullerton
FSU,FIU,67,Florida St.
HALL,Marshall,67,Seton Hall
KSU,LSU,67,Kansas St.
LIU,FIU,67,LIU Brooklyn
MIA,VMI,67,Miami FL
MICH,Michigan,67,
MIZ,VMI,67,Missouri
MRSH,Marshall,67,
MSU,LSU,67,Michigan St.
NEV,Nevada,67,
OSU,LSU,67,Ohio St.
PUR,Purdue,67,
SBON,Brown,67,St. Bonaventure
TTU,TCU,67,Texas Tech
TXSO,Texas,67,Texas Southern
UK,Duke,67,Kentucky
UNC,UCF,67,North Carolina
UVA,UAB,67,Virginia
WVU,VCU,67,West Virginia
XAV,Xavier,67,
ARIZ,Arizona,73,
BUFF,Buffalo,73,
CLEM,Clemson,73,
GONZ,Gonzaga,73,
MONT,Belmont,73,Montana
OKLA,Oakland,73,Oklahoma
TENN,Penn,75,Tennessee
TEX,Texas,75,
DUKE,Duke,100,
IONA,Iona,100,
PENN,Penn,100,
TCU,TCU,100,
UCLA,UCLA,100,
UMBC,UMBC,100,
