espn team,kenpom team,ratio,override team
ETSU,LSU,57,East Tennessee St.
FGCU,FIU,57,Florida Gulf Coast
URI,Rice,57,Rhode Island
UNC,UCF,67,North Carolina
UVA,UAB,67,Virginia
NC Central,Central Connecticut,69,North Carolina Central
Miami,Miami FL,77,
Iowa State,Iowa St.,82,
Kent State,Kent St.,82,
Kansas State,Kansas St.,86,
Florida State,Florida St.,87,
Wichita State,Wichita St.,87,
Michigan State,Michigan St.,88,
Oklahoma State,Oklahoma St.,88,
Mt St Mary's,Mount St. Mary's,89,
N Kentucky,Kentucky,89,Northern Kentucky
Mid Tennessee,Middle Tennessee,90,
Arizona,Arizona,100,
Arkansas,Arkansas,100,
Baylor,Baylor,100,
Bucknell,Bucknell,100,
Butler,Butler,100,
Cincinnati,Cincinnati,100,
Creighton,Creighton,100,
Dayton,Dayton,100,
Duke,Duke,100,
Florida,Florida,100,
Gonzaga,Gonzaga,100,
Iona,Iona,100,
Jacksonville St,Jacksonville St.,100,
Kansas,Kansas,100,
Kentucky,Kentucky,100,
Louisville,Louisville,100,
Marquette,Marquette,100,
Maryland,Maryland,100,
Michigan,Michigan,100,
Minnesota,Minnesota,100,
Nevada,Nevada,100,
New Mexico St,New Mexico St.,100,
New Orleans,New Orleans,100,
North Dakota,North Dakota,100,
Northwestern,Northwestern,100,
Notre Dame,Notre Dame,100,
Oregon,Oregon,100,
Princeton,Princeton,100,
Providence,Providence,100,
Purdue,Purdue,100,
SMU,SMU,100,
Saint Mary's,Saint Mary's,100,
Seton Hall,Seton Hall,100,
South Carolina,South Carolina,100,
South Dakota St,South Dakota St.,100,
Texas Southern,Texas Southern,100,
Troy,Troy,100,
UC Davis,UC Davis,100,
UCLA,UCLA,100,
UNC Wilmington,UNC Wilmington,100,
USC,USC,100,
VCU,VCU,100,
Vanderbilt,Vanderbilt,100,
Vermont,Vermont,100,
Villanova,Villanova,100,
Virginia Tech,Virginia Tech,100,
Wake Forest,Wake Forest,100,
West Virginia,West Virginia,100,
Winthrop,Winthrop,100,
Wisconsin,Wisconsin,100,
Xavier,Xavier,100,
